review_row_id,old_method_code,old_method_name,new_method_code,new_method_name,frozen_proposed_old_analyzer_family,frozen_proposed_new_analyzer_family,frozen_proposed_transition_class,frozen_proposed_nda_related,frozen_proposed_same_hardware_family,frozen_classification_basis,frozen_official_source,frozen_source_review_status,frozen_taxonomy_sha256,human_review_decision,human_evidence_locator,human_source_accessed_at_utc,student_reviewer_initials,teacher_reviewer_initials,review_date,reviewer_notes
TAX-011,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Thermo 5014i/FH62C14-DHS,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-012,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-013,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-014,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Thermo 5014i/FH62C14-DHS,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-015,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Thermo 5030 SHARP,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-016,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Thermo 5030 SHARP,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-017,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo 5030 SHARP,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-018,195,GRIMM EDM Model 180 with naphion dryer - Laser Light Scattering,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,GRIMM EDM 180,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer families; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-019,204,Teledyne Model 602 Beta plus w/VSCC - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Teledyne 602 Beta,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-020,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Met One BAM-1022/TE-PM2.5C,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-021,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Met One BAM-1022/TE-PM2.5C,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-022,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Teledyne T640,Met One BAM-1020,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-023,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,209,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C - Beta Attenuation,Teledyne T640,Met One BAM-1022/TE-PM2.5C,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-024,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-025,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640,Teledyne T640,administrative_data_processing,true,true,Exact T640 family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-026,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer models; new AQS Method Name includes Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-027,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Teledyne T640X,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-028,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640X,Teledyne T640X,administrative_data_processing,true,true,Exact T640X family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-029,581,Thermo Scientific 1405-F FDMS w/VSCC - FDMS Gravimetric,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Thermo TEOM 1405,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model families in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-030,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Teledyne T640,Teledyne T640,administrative_data_processing,true,true,Exact T640 family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-031,636,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled - Broadband spectroscopy,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,true,false,Distinct analyzer model identifiers; both Method Names include Network Data Alignment,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-032,638,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled - Broadband spectroscopy,238,Teledyne T640X at 16.67 LPM - Broadband spectroscopy,Teledyne T640X,Teledyne T640X,administrative_data_processing,true,true,Exact T640X family; only Network Data Alignment text changes,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm|https://www.epa.gov/system/files/documents/2024-05/2_supplemental-info_t640-data-update_final-05-13-2024.pdf,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-033,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,738,Teledyne T640X at 16.67 LPM (Corrected) - Broadband spectroscopy,Teledyne T640,Teledyne T640X,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
TAX-034,738,Teledyne T640X at 16.67 LPM (Corrected) - Broadband spectroscopy,736,Teledyne T640 at 5.0 LPM (Corrected) - Broadband spectroscopy,Teledyne T640X,Teledyne T640,cross_analyzer_family,false,false,Distinct analyzer model identifiers in AQS Method Name,https://aqs.epa.gov/aqsweb/helpfiles/method_code.htm,pending_student_teacher_review,31485dc86fd1d3dd9715bc9f1057856dab8d89e399ebbaaff206374f76b4fcf2,pending_human_review,,,,,,
