claim_id,manuscript_section,claim_text,evidence_file,evidence_version,relevant_columns,filters,calculation,generated_table_or_figure,verification_status,notes
Q17,Results RQ3,"Fixed-weight intervals exclude zero for 159/228 MetaShift, 145/228 standard synthetic control, and 134/228 nearest-neighbor DiD events.",artifacts/real_transition_88101_event_intervals.csv,v0.3.2,method; ci_excludes_zero,group by method,Sum ci_excludes_zero and count anchors.,table_real_audit.tex,verified_frozen_evidence,These are conditional diagnostic intervals.
Q18,Results RQ3; Results RQ4,Selection-aware nested intervals are available for 227 events; 153 exclude zero and mean width is 0.19057 log units.,artifacts/real_transition_88101_nested_selection_intervals.csv,v0.3.2,selection_ci_excludes_zero; selection_ci95_lower; selection_ci95_upper,all 227 complete nested rows,Count excludes; mean upper minus lower.,table_real_audit.tex; table_interval_coverage.tex,verified_frozen_evidence,One event fails nested resampling; scope remains fixed candidate pool.
Q19,Results RQ3,"Leave-one-donor-out refits are complete for 227 events, and 202 retain direction under every donor removal.",artifacts/leave_one_donor_out_summary.csv,v0.3.2,summary_status; direction_stable_all_donors,summary_status=complete,Count rows and true flags.,table_real_audit.tex,verified_frozen_evidence,One partial result is retained rather than removed.
Q20,Results RQ4,Nominal 95% fixed-weight conditional bootstrap coverage on evaluation is 63.9% to 67.3% across four methods.,artifacts/synthetic_interval_coverage_v2_summary.csv,v0.3.2,interval_type; nominal_coverage; split; stratum_type; empirical_coverage,conditional_block_bootstrap; split=evaluation; stratum_type=all,Report method-wise range.,table_interval_coverage.tex; fig_interval_coverage.pdf,verified_frozen_evidence,Undercoverage is a negative calibration result.
Q21,Results RQ4,Nominal 90% split-conformal coverage on evaluation is 98.8% to 99.6% across four methods.,artifacts/synthetic_interval_coverage_v2_summary.csv,v0.3.2,interval_type; nominal_coverage; split; stratum_type=all; empirical_coverage,split_conformal; split=evaluation; stratum_type=all,Report method-wise range.,table_interval_coverage.tex; fig_interval_coverage.pdf,verified_frozen_evidence,Overcoverage is a negative calibration result.
Q22,Results RQ4; Limitations,Selection-aware synthetic coverage is not reported because the frozen full donor-reselection protocol was infeasible within the deadline.,configs/selection_aware_coverage_protocol_v2.json,v0.3.2,feasibility_assessment.conclusion; honest_limitation,frozen protocol,Read fields directly.,table_interval_coverage.tex,verified_frozen_evidence,Real nested intervals are not claimed to have calibrated coverage.
Q23,Results RQ5,"Of 11 hourly same-site POC candidates, 9/11 have paired hourly windows, with 8/9 daily/hourly direction agreements.",artifacts/hourly_poc_validation_summary.csv,v0.3.2,status; hourly_daily_direction_agreement,status=paired_hourly_pre_post_available,Count paired rows and true agreement.,table_placebo_external.tex; fig_external_evidence.pdf,verified_frozen_evidence,Same-site POC is not physical-instrument ground truth.
Q24,Results RQ5,The targeted external-document review found 0/20 dated site-specific confirmations.,artifacts/external_document_review_summary.json; paper/EXTERNAL_DOCUMENT_REVIEW.csv,v0.3.2,reviewed_events; site_specific_dated_confirmations,all selected records,Read summary fields and reconcile with CSV.,table_placebo_external.tex; fig_external_evidence.pdf,verified_frozen_evidence,An unlocated notice is unavailable evidence not evidence of no change.
Q25,Results RQ5,The independent 88502 pipeline has 34 anchors and 3 complete common-method comparisons.,artifacts/data_gate_88502/summary.json; artifacts/real_transition_88502_event_audit.csv,v0.3.2,eligible_anchors; audit_status,parameter=88502; audit_status=complete,Read anchor count and count complete rows.,table_real_audit.tex,verified_frozen_evidence,Do not combine 88502 and 88101.
Q26,Conclusion; Reproducibility,"The v0.3.2 evidence release passes 35 release-gate checks, 12 document-consistency checks, 57 manuscript-number checks, and has 34 matching designated two-environment core-artifact hashes.",results/release_gate.json; results/document_consistency.json; results/manuscript_number_verification.json; results/reproducibility_comparison.json,v0.3.2,checks; all_checks_passed; all_numbers_match; all_core_artifacts_match,frozen evidence capture,Count checks and read booleans.,table_reproducibility.tex,verified_frozen_evidence,Release-gate and reports are generated outputs not scientific outcomes.
Q27,Results RQ3,"Median 60-day log effects for complete events are -0.08704 (fixed-prior MetaShift), -0.07078 (standard synthetic control), and -0.07490 (nearest-neighbor DiD).",artifacts/real_transition_88101_method_results.csv,v0.3.2,method; log_effect,"method in metashift_v1_fixed, standard_synthetic_control, nearest_neighbor_did",Median by method and half-up round to five decimals.,table_real_audit.tex,verified_frozen_evidence,Observational summaries are not physical-bias labels.
Q28,Results RQ4,"At 45/60/90-day windows, fixed-prior MetaShift has 224/228, 228/228, and 196/228 complete events; 45- and 90-day direction agreement to 60 days is 93.3% and 93.9%.",artifacts/effect_window_sensitivity_summary.csv,v0.3.2,method; comparison_window_days; status; event_count; sign_agreement_with_60_day,method=metashift_v1_fixed,Read complete rows and round agreement to one decimal percent.,table_window_scale_sensitivity.tex,verified_frozen_evidence,Different windows change availability and are not optimized post hoc.
Q29,Results RQ4,"At the 60-day window, log/raw sign agreement is 95.2%, 92.5%, and 92.1% for fixed-prior MetaShift, standard synthetic control, and nearest-neighbor DiD.",artifacts/reporting_scale_sensitivity_summary.csv,v0.3.2,method; log_raw_direction_agreement; spearman_abs_log_vs_raw,all three cross-site methods,Convert proportions to percent and round half-up to one decimal.,table_window_scale_sensitivity.tex,verified_frozen_evidence,Scale concordance does not make raw and log effects interchangeable.
Q30,Results RQ4,"The one-factor predeclared screening grid retains 238 anchors at the primary 100 km rule, 102 at 50 km, and 426 at 200 km.",artifacts/screening_sensitivity_summary.csv,v0.3.2,setting; minimum_donors_required; eligible_anchors_after_donor_threshold,"minimum_donors_required=3; setting in primary, distance_50, distance_200",Read fields directly.,table_screening_sensitivity.tex; fig_screening_sensitivity.pdf,verified_frozen_evidence,This reports data availability not effect magnitude.
Q31,Results RQ3,"At the 90th calibration-percentile pre-fit gate, standard synthetic control retains 75/80 evaluation sites and has MAE 0.09274 versus 0.09983 at full 80-site coverage.",artifacts/synthetic_risk_coverage_stable_full_v2.csv,v0.3.2,method; target_calibration_coverage; evaluation_cases; local_effect_mae_log,"method=standard_synthetic_control; target_calibration_coverage in 0.9,1.0",Read and round half-up to five decimals.,table_placebo_external.tex,verified_frozen_evidence,The gate is analyzed descriptively and is not tuned on the evaluation set.
Q32,Results RQ2,Reliability-prior and ridge ablations share the same standard synthetic-control records and do not establish a confidence-supported aggregate MetaShift advantage.,artifacts/reliability_ablation_stable_full_v2_metrics.csv; artifacts/reliability_ablation_stable_full_v2_bootstrap.csv; artifacts/benchmark_ablation_alignment_stable_full_v2.json,v0.3.2,method; local_effect_mae_log; macro_f1; false_positive_rate; comparison_rows; all_rows_aligned,all ablation rows,Report generated table and exact alignment record.,table_ablation.tex,verified_frozen_evidence,The conclusion is bounded to the frozen benchmark.
Q33,Results RQ1,"All 9 frozen methods are retained in the complete aggregate comparison, with N/A used where a local-effect magnitude estimate is not defined.",artifacts/stable_synthetic_stable_full_v2_metrics.csv,v0.3.2,method; local_effect_mae_log,all aggregate method rows,Count listed methods and preserve undefined metric cells.,table_all_methods.tex; fig_perturbation_metrics.pdf,verified_frozen_evidence,Methods are not removed because a metric is unavailable.
Q34,Experiments; Results RQ1,"All 5 paired local/regional perturbation families are reported, with 800 held-out evaluation instances per family.",artifacts/stable_synthetic_stable_full_v2_metrics.csv,v0.3.2,perturbation_family; evaluation_instances,all family rows,Count frozen families and read aggregate family instances.,table_perturbation_metrics.tex; fig_perturbation_metrics.pdf,verified_frozen_evidence,Each family pairs a target-only local and matched regional condition.
Q35,Data; Experiments,"Stable pseudo-anchor sources contain 124 method-transition stable regimes and 22 all-monitor stable regimes.",artifacts/stable_synthetic_case_manifest.json,v0.3.2,case_source_counts,stable_full_v2 case manifest,Read source composition directly.,table_data_summary.tex; fig_split_integrity.pdf,verified_frozen_evidence,Source regime counts sum to the 146 physical target sites.
Q36,Case studies; Reproducibility,"The deterministic display-only case set selects 12-057-0113-poc1-2023-12-01, 06-031-0004-poc8-2021-01-12, and 01-103-0011-poc3-2023-02-01; both complete fixed-MetaShift effects must reproduce saved values within absolute tolerance 1e-9.",artifacts/real_transition_88101_evidence_tiers.csv; artifacts/real_transition_88101_method_results.csv; paper/latex/configs/case_study_rendering_v1.json; artifacts/data_gate/source_manifest.json; artifacts/data_gate/geographic_controls.csv,v0.3.2,evidence_tier; standardized_score; anchor_id; log_effect; archive SHA-256; geographic donor identity,configuration-defined deterministic selection and checksum-pinned reconstruction,Select cases by configuration and compare recomputed effects with saved results.,table_case_studies.tex; fig_case_studies.pdf,verified_frozen_evidence,Display-only reconstruction does not alter frozen analysis artifacts.
